9.272150e+00,9.272150e+00,9.272148e+00,9.272146e+00,9.272146e+00,9.272144e+00,9.272143e+00,9.272142e+00,9.272142e+00,9.272144e+00
9.272150e+00,9.272150e+00,9.272148e+00,9.272146e+00,9.272146e+00,9.272144e+00,9.272143e+00,9.272142e+00,9.272142e+00,9.272144e+00
9.272148e+00,9.272148e+00,9.272146e+00,9.272144e+00,9.272144e+00,9.272142e+00,9.272140e+00,9.272140e+00,9.272140e+00,9.272141e+00
9.272146e+00,9.272146e+00,9.272144e+00,9.272142e+00,9.272142e+00,9.272140e+00,9.272139e+00,9.272138e+00,9.272138e+00,9.272140e+00
9.272146e+00,9.272146e+00,9.272144e+00,9.272142e+00,9.272142e+00,9.272140e+00,9.272139e+00,9.272138e+00,9.272138e+00,9.272140e+00
9.272144e+00,9.272144e+00,9.272142e+00,9.272140e+00,9.272140e+00,9.272139e+00,9.272137e+00,9.272137e+00,9.272137e+00,9.272138e+00
9.272143e+00,9.272143e+00,9.272140e+00,9.272139e+00,9.272139e+00,9.272137e+00,9.272136e+00,9.272135e+00,9.272135e+00,9.272137e+00
9.272142e+00,9.272142e+00,9.272140e+00,9.272138e+00,9.272138e+00,9.272137e+00,9.272135e+00,9.272135e+00,9.272135e+00,9.272137e+00
9.272142e+00,9.272142e+00,9.272140e+00,9.272138e+00,9.272138e+00,9.272137e+00,9.272135e+00,9.272135e+00,9.272135e+00,9.272137e+00
9.272144e+00,9.272144e+00,9.272141e+00,9.272140e+00,9.272140e+00,9.272138e+00,9.272137e+00,9.272137e+00,9.272137e+00,9.272139e+00
